text,category,alias,verdict,gain,heard_without_dict,heard_with_dict,sentence,judge_reason,stored_verdict,stt_model
sulfamethoxazole trimethoprim,drug,sul-fa-meth-OX-a-zole try-METH-oh-prim,WASH,-0.036,Please take your sulfamethoxazole trimethoprim as prescribed.,Please take your sulfamethoexazole TriMet-O-Prim as prescribed.,Please take your sulfamethoxazole trimethoprim as prescribed.,"Both transcripts attempt the drug name but neither is fully accurate; the dictionary version fragments it into ""TriMet-O-Prim"" which is arguably worse, but the difference is minor.",WASH,
nitrofurantoin,drug,ny-tro-fyoor-an-TOYN,HURTS,-0.117,Please take your nitrofurantoin as prescribed.,Please take your Nitro-Fjorn twine as prescribed.,Please take your nitrofurantoin as prescribed.,"The without-dictionary transcript correctly rendered ""nitrofurantoin,"" while the with-dictionary transcript mangled it into ""Nitro-Fjorn twine.""",WASH,
penicillin,drug,pen-i-SIL-in,WASH,0.0,Please take your penicillin as prescribed.,Please take your penicillin as prescribed.,Please take your penicillin as prescribed.,"Both transcripts are identical and correctly render ""penicillin,"" so the dictionary entry had no effect.",HURTS,
vancomycin,drug,van-ko-MY-sin,HURTS,-0.083,Please take your vancomycin as prescribed.,Please take your Vanco I-Syn as prescribed.,Please take your vancomycin as prescribed.,"The without-dictionary transcript correctly rendered ""vancomycin,"" while the with-dictionary transcript mangled it into ""Vanco I-Syn.""",WASH,
levofloxacin,drug,lee-vo-FLOX-a-sin,HURTS,-0.049,Please take your levofloxacin as prescribed.,Please take your Levo-Efloxicin as prescribed.,Please take your levofloxacin as prescribed.,"The without-dictionary transcript already produced the correct term ""levofloxacin,"" while the with-dictionary transcript mangled it into ""Levo-Efloxicin.""",WASH,
moxifloxacin,drug,mox-i-FLOX-a-sin,WASH,-0.049,Please take your moxifloxacin as prescribed.,Please take your Moxi-Efloxicin as prescribed.,Please take your moxifloxacin as prescribed.,"Both transcripts attempt the drug name but neither is fully correct; the dictionary version ""Moxi-Efloxicin"" is not a clear improvement over ""moxifloxacin"" and arguably worse.",WASH,
cefdinir,drug,SEF-di-ner,WASH,-0.01,Please take your ceftina as prescribed.,Please take your SEF diner as prescribed.,Please take your cefdinir as prescribed.,"Both transcripts fail to clearly produce ""cefdinir"" — the without-dictionary version gives ""ceftina"" and the with-dictionary version gives ""SEF diner,"" neither of which is a clear recovery of the target term.",WASH,
cefaclor,drug,SEF-a-klor,WASH,-0.052,Please take your cefaclar as prescribed.,Please take your SEF ochlor as prescribed.,Please take your cefaclor as prescribed.,"Both transcripts mispronounce the term (""cefaclar"" vs ""SEF ochlor""), and neither recovers the correct ""cefaclor"" pronunciation; the dictionary version is arguably worse due to the awkward syllable split.",WASH,
cefuroxime,drug,se-fyoor-OX-eem,WASH,-0.011,Please take your Cephyroxime as prescribed.,Please take your C-Fior Oaxime as prescribed.,Please take your cefuroxime as prescribed.,"Both transcripts are garbled attempts at ""cefuroxime"" and neither clearly recovers the correct term; the dictionary version is arguably worse with the ""C-Fior Oaxime"" fragmentation.",HELPS,
ceftriaxone,drug,sef-try-AX-one,HURTS,-0.068,Please take your ceftriaxone as prescribed.,Please take your Ceftri-AX1 as prescribed.,Please take your ceftriaxone as prescribed.,"The without-dictionary transcript correctly produced ""ceftriaxone,"" while the with-dictionary transcript mangled it into ""Ceftri-AX1.""",HELPS,
cefepime,drug,SEF-e-peem,WASH,-0.042,Please take your cefepime as prescribed.,Please take your SEF-EPIM as prescribed.,Please take your cefepime as prescribed.,"Both transcripts convey the drug name reasonably; the dictionary version ""SEF-EPIM"" is a phonetic spelling but not clearly better than ""cefepime"" which was already intelligible.",HELPS,
meropenem,drug,mer-oh-PEN-em,WASH,0.08,Please take your myroponym as prescribed.,Please take your muropenem as prescribed.,Please take your meropenem as prescribed.,"Both transcripts fail to clearly recover ""meropenem""; the dictionary version is slightly closer but still garbled (""muropenem"" vs ""myroponym""), and neither is a clear win.",HURTS,
ertapenem,drug,er-ta-PEN-em,WASH,0.0,Please take your ertepenem as prescribed.,Please take your urtipenem as prescribed.,Please take your ertapenem as prescribed.,"Both transcripts mispronounce the term (""ertepenem"" vs ""urtipenem""), and the dictionary version is not closer to the target ""ertapenem.""",HELPS,
imipenem,drug,i-mi-PEN-em,HURTS,-0.059,Please take your Imipenem as prescribed.,Please take your I. My Penem as prescribed.,Please take your imipenem as prescribed.,"The without-dictionary transcript correctly rendered ""Imipenem"" as a single word, while the with-dictionary transcript fragmented it into ""I. My Penem,"" making it worse.",HURTS,
piperacillin tazobactam,drug,pi-PER-a-sil-in ta-zo-BAK-tam,WASH,0.0,Please take your piperacillin tazobactam as prescribed.,Please take your piperacillin tazobactam as prescribed.,Please take your piperacillin tazobactam as prescribed.,Both transcripts are identical and correctly render the term.,WASH,
gentamicin,drug,jen-ta-MY-sin,HURTS,-0.104,Please take your Gentamicin as prescribed.,Please take your gent and my sin is prescribed.,Please take your gentamicin as prescribed.,"The without-dictionary transcript correctly captured ""gentamicin,"" while the with-dictionary transcript garbled it into ""gent and my sin.""",HELPS,
tobramycin,drug,toe-bra-MY-sin,WASH,-0.007,Please take your tobermycin as prescribed.,Please take your Tobra NYCIN as prescribed.,Please take your tobramycin as prescribed.,"Both transcripts fail to clearly produce ""tobramycin"" — the without-dictionary version gives ""tobermycin"" (close but wrong), and the with-dictionary version fragments it into ""Tobra NYCIN"" (worse, broken).",WASH,
amikacin,drug,am-i-KAY-sin,WASH,0.042,Please take your amycosin as prescribed.,Please take your MIKK Sin as prescribed.,Please take your amikacin as prescribed.,"Both transcripts fail to recover ""amikacin"" clearly; the dictionary version (""MIKK Sin"") is not meaningfully closer to the target than ""amycosin.""",WASH,
linezolid,drug,li-NEZ-o-lid,HELPS,0.105,Please take your line as all it is prescribed.,Please take your linezolid as prescribed.,Please take your linezolid as prescribed.,"The without-dictionary transcript mangled ""linezolid"" into ""line as all it,"" while the with-dictionary transcript correctly recovered the full drug name ""linezolid.""",HELPS,
daptomycin,drug,dap-toe-MY-sin,HURTS,-0.083,Please take your daptomycin as prescribed.,Please take your DAPTO-AMSIN as prescribed.,Please take your daptomycin as prescribed.,"The without-dictionary transcript correctly produced ""daptomycin,"" while the with-dictionary transcript mangled it into ""DAPTO-AMSIN.""",WASH,
tigecycline,drug,tye-ge-SY-kleen,HURTS,-0.12,Please take your tigacycline as prescribed.,Please take your Tygesai clean as prescribed.,Please take your tigecycline as prescribed.,"The without-dictionary transcript ""tigacycline"" is a closer match to ""tigecycline"" than the garbled ""Tygesai clean"" produced with the dictionary.",HURTS,
minocycline,drug,mi-no-SY-kleen,HURTS,-0.116,Please take your minocycline as prescribed.,Please take your Mino S Clean as prescribed.,Please take your minocycline as prescribed.,"The without-dictionary transcript correctly rendered ""minocycline,"" while the with-dictionary transcript mangled it into ""Mino S Clean.""",HURTS,
rifampin,drug,ri-FAM-pin,HURTS,-0.048,Please take your rifampin as prescribed.,Please take your Rifam pen as prescribed.,Please take your rifampin as prescribed.,"The ""without dictionary"" transcript correctly produced ""rifampin,"" while the ""with dictionary"" transcript mangled it into ""Rifam pen.""",WASH,
isoniazid,drug,eye-so-NY-a-zid,WASH,-0.007,Please take your Isoniazide as prescribed.,Please take your iso-aniazid as prescribed.,Please take your isoniazid as prescribed.,"Both transcripts attempt the term but neither is clean; the dictionary version (""iso-aniazid"") is arguably worse than the natural attempt (""Isoniazide""), and neither clearly recovers the target.",WASH,
pyrazinamide,drug,py-ra-ZIN-a-mide,WASH,-0.036,Please take your pyrazinamide as prescribed.,Please take your pyrazenamide as prescribed.,Please take your pyrazinamide as prescribed.,"Both transcripts are close attempts at ""pyrazinamide""; neither is clearly correct, and the dictionary version (""pyrazenamide"") is not meaningfully better than the original.",WASH,
ethambutol,drug,e-THAM-byoo-tol,WASH,0.0,Please take your ethambutol as prescribed.,Please take your ethambutol as prescribed.,Please take your ethambutol as prescribed.,"Both transcripts are identical and correctly render ""ethambutol,"" so the dictionary entry made no difference.",HELPS,
fluconazole,drug,floo-KON-a-zole,HELPS,0.037,Please take your Flaconazole as prescribed.,Please take your fluconazole as prescribed.,Please take your fluconazole as prescribed.,"The dictionary corrected the mispronunciation ""Flaconazole"" to the correct ""fluconazole"".",HURTS,
ketoconazole,drug,kee-toe-KON-a-zole,HURTS,-0.043,Please take your ketoconazole as prescribed.,Please take your Keto-Connozol as prescribed.,Please take your ketoconazole as prescribed.,"The without-dictionary transcript already correctly produced ""ketoconazole,"" while the with-dictionary transcript mangled it into ""Keto-Connozol.""",WASH,
itraconazole,drug,i-tra-KON-a-zole,HELPS,0.036,Please take your itroconazole as prescribed.,Please take your itraconazole as prescribed.,Please take your itraconazole as prescribed.,"The ""with dictionary"" transcript correctly recovers ""itraconazole"" while the ""without dictionary"" transcript mispronounces it as ""itroconazole"".",WASH,
voriconazole,drug,vor-ih-KON-uh-zole,WASH,0.0,Please take your voriconazole as prescribed.,Please take your voriconazole as prescribed.,Please take your voriconazole as prescribed.,"Both transcripts are identical and correctly render ""voriconazole,"" so the dictionary entry had no effect.",HURTS,
posaconazole,drug,poh-sah-KON-uh-zole,WASH,0.0,Please take your posaconazole as prescribed.,Please take your posaconazole as prescribed.,Please take your posaconazole as prescribed.,"Both transcripts already produced the correct term ""posaconazole"" identically, so the dictionary entry had no effect.",WASH,
acyclovir,drug,ay-SY-kloh-veer,WASH,0.0,Please take your acyclovir as prescribed.,Please take your iCyclovir as prescribed.,Please take your acyclovir as prescribed.,"Both transcripts fail to clearly render ""acyclovir"" — the dictionary version produced ""iCyclovir"" which is not an improvement and arguably worse, but neither is correct.",HURTS,
valacyclovir,drug,val-ay-SY-kloh-veer,WASH,-0.008,Please take your Valacyclovir as prescribed.,Please take your Valaacyclovir as prescribed.,Please take your valacyclovir as prescribed.,"Both transcripts are essentially identical and both correctly render ""valacyclovir""; the dictionary entry produced no meaningful change.",HURTS,
famciclovir,drug,fam-SY-kloh-veer,WASH,0.0,Please take your famsiclovir as prescribed.,Please take your FAMCyclovir as prescribed.,Please take your famciclovir as prescribed.,"Both transcripts attempt the term but neither is fully correct; the dictionary version capitalizes ""FAMC"" but doesn't clearly improve pronunciation recovery.",WASH,
oseltamivir,drug,oh-sel-TAM-ih-veer,HURTS,-0.08,Please take your oseltamivir as prescribed.,Please take your Ocell Tamvir as prescribed.,Please take your oseltamivir as prescribed.,"The without-dictionary transcript already correctly rendered ""oseltamivir,"" while the with-dictionary transcript mangled it into ""Ocell Tamvir.""",HELPS,
aciklovir,drug,ah-SEE-kloh-veer,WASH,0.04,Please take your aciclavir as prescribed.,Please take your aciclovir as prescribed.,Please take your aciklovir as prescribed.,"Both transcripts render the term identically as ""aciclavir,"" so the dictionary produced no meaningful change.",HURTS,
ibuprofen,drug,eye-byoo-PROH-fen,HURTS,-0.027,Please take your ibuprofen as prescribed.,Please take your Ibupro-Ochfen as prescribed.,Please take your ibuprofen as prescribed.,"The without-dictionary transcript correctly rendered ""ibuprofen,"" while the with-dictionary transcript mangled it into ""Ibupro-Ochfen.""",WASH,
naproxen,drug,nah-PROK-sen,WASH,-0.007,Please take your naproxen as prescribed.,Please take your Na Proxen as prescribed.,Please take your naproxen as prescribed.,"Both transcripts fail to clearly render ""naproxen"" as a single word; the dictionary version splits it into ""Na Proxen"" which is not an improvement.",HELPS,
celecoxib,drug,sel-eh-KOK-sib,HURTS,-0.178,Please take your celecoxib as prescribed.,Please take your Sela K-O-K-Sib as prescribed.,Please take your celecoxib as prescribed.,"The without-dictionary transcript already produced the correct term ""celecoxib,"" while the with-dictionary transcript mangled it into ""Sela K-O-K-Sib.""",WASH,
meloxicam,drug,mel-OK-sih-kam,HURTS,-0.091,Please take your meloxicam as prescribed.,Please take your MelOK Sikam as prescribed.,Please take your meloxicam as prescribed.,"The without-dictionary transcript correctly produced ""meloxicam,"" while the with-dictionary transcript mangled it into ""MelOK Sikam.""",HURTS,
